goodbooks_id,isbn13,title,authors,year,language,average_rating,ratings_count,image_url,genre
1,9780439023480,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008,eng,4.34,4780653,https://images.gr-assets.com/books/1447303603m/2767052.jpg,Young Adult
2,9780439554930,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997,eng,4.44,4602479,https://images.gr-assets.com/books/1474154022m/3.jpg,Fantasy
3,9780316015840,"Twilight (Twilight, #1)",Stephenie Meyer,2005,en-US,3.57,3866839,https://images.gr-assets.com/books/1361039443m/41865.jpg,Young Adult
4,9780061120080,To Kill a Mockingbird,Harper Lee,1960,eng,4.25,3198671,https://images.gr-assets.com/books/1361975680m/2657.jpg,Classics
5,9780743273560,The Great Gatsby,F. Scott Fitzgerald,1925,eng,3.89,2683664,https://images.gr-assets.com/books/1490528560m/4671.jpg,Classics
6,9780525478810,The Fault in Our Stars,John Green,2012,eng,4.26,2346404,https://images.gr-assets.com/books/1360206420m/11870085.jpg,Young Adult
7,9780618260300,The Hobbit,J.R.R. Tolkien,1937,en-US,4.25,2071616,https://images.gr-assets.com/books/1372847500m/5907.jpg,Fantasy
8,9780316769170,The Catcher in the Rye,J.D. Salinger,1951,eng,3.79,2044241,https://images.gr-assets.com/books/1398034300m/5107.jpg,Classics
10,9780679783270,Pride and Prejudice,Jane Austen,1813,eng,4.24,2035490,https://images.gr-assets.com/books/1320399351m/1885.jpg,Classics
9,9781416524790,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000,en-CA,3.85,2001311,https://images.gr-assets.com/books/1303390735m/960.jpg,Fiction
15,9780553296980,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,eng,4.1,1972666,https://images.gr-assets.com/books/1358276407m/48855.jpg,Non-fiction
13,9780451524940,1984,"George Orwell, Erich Fromm, Celâl Üster",1949,eng,4.14,1956832,https://images.gr-assets.com/books/1348990566m/5470.jpg,Fiction
12,9780062024040,"Divergent (Divergent, #1)",Veronica Roth,2011,eng,4.24,1903563,https://images.gr-assets.com/books/1328559506m/13335037.jpg,Young Adult
14,9780452284240,Animal Farm,George Orwell,1945,eng,3.87,1881700,https://images.gr-assets.com/books/1424037542m/7613.jpg,Classics
18,9780439655480,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999,eng,4.53,1832823,https://images.gr-assets.com/books/1499277281m/5.jpg,Fantasy
17,9780439023500,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009,eng,4.3,1831039,https://images.gr-assets.com/books/1358273780m/6148028.jpg,Young Adult
11,9781594480000,The Kite Runner,Khaled Hosseini,2003,eng,4.26,1813044,https://images.gr-assets.com/books/1484565687m/77203.jpg,Fiction
16,9780307269750,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005,eng,4.11,1808403,https://images.gr-assets.com/books/1327868566m/2429135.jpg,Fiction
